Well ID	Time ID	Median C2	Median C3					
104100210	1	24827	21776					
104100210	2	29638	21973					
104100210	3	30263	23002					
104100210	4	30259	22910					
104100210	5	30579	23134					
104100210	6	32166	23408					
104100210	7	31439	23286					
104100210	8	30524	23500					
104100210	9	30604	22700					
104100303	1	20818	14938					
104100303	2	20803	14906					
104100303	3	23813	17000					
104100303	4	23567	17487					
104100303	5	23391	18204					
104100303	6	22526	17583					
104100303	7	22978	17848					
104100303	8	22391	18315					
104100303	9	22593	18040					
104100304	1	24575	22222					
104100304	2	22121	22716					
104100304	3	22633	23819					
104100304	4	22838	23258					
104100304	5	23191	24610					
104100304	6	22813	24445					
104100304	7	22424	24681					
104100304	8	23003	24911					
104100304	9	23354	24378					
104100306	1	20194	15443					
104100306	2	21096	16570					
104100306	3	20530	17062					
104100306	4	20587	17337					
104100306	5	21463	17032					
104100306	6	21165	18373					
104100306	7	21470	17874					
104100306	8	21434	17771					
104100306	9	21754	18052					
104100403	1	44797	15858					
104100403	2	46702	16781					
104100403	3	47488	17399					
104100403	4	48160	17934					
104100403	5	48694	18789					
104100403	6	48900	19014					
104100403	7	49916	18920					
104100403	8	50755	19457					
104100403	9	50390	19380					
104100407	1	23276	15282					
104100407	2	20658	14557					
104100407	3	20892	15773					
104100407	4	22200	15652					
104100407	5	23067	16759					
104100407	6	23939	17020					
104100407	7	23437	17171					
104100407	8	25204	17283					
104100407	9	25977	17644					
104100410	1	19353	16499					
104100410	2	19413	16278					
104100410	3	19101	16174					
104100410	4	19123	16553					
104100410	5	19378	17377					
104100410	6	20152	18035					
104100410	7	20042	17144					
104100410	8	19630	17235					
104100410	9	21081	17979					
104100411	1	18550	17091					
104100411	2	18736	17466					
104100411	3	19489	17851					
104100411	4	19652	18043					
104100411	5	19830	18019					
104100411	6	20980	19122					
104100411	7	20527	18820					
104100411	8	20883	19140					
104100411	9	21084	18977					
104100505	1	28217	18953					
104100505	2	25643	17214					
104100505	3	26667	18771					
104100505	4	26607	19512					
104100505	5	26597	19406					
104100505	6	27516	20704					
104100505	7	28997	20968					
104100505	8	28685	20686					
104100505	9	27651	20426					
104100509	1	18763	18570					
104100509	2	19131	18360					
104100509	3	19147	18267					
104100509	4	19551	19230					
104100509	5	19699	19176					
104100509	6	19354	20003					
104100509	7	20112	19691					
104100509	8	20379	20762					
104100509	9	20290	19672					
104100604	1	21731	22035					
104100604	2	22451	21455					
104100604	3	22817	22080					
104100604	4	23511	22975					
104100604	5	23409	23784					
104100604	6	23826	23390					
104100604	7	24444	24180					
